company_id,employee_count,follower_count,time_recorded
80862575,437,1560,2023-08-22 06:08:52.000000000
9185,19759,114381,2023-08-22 06:08:52.000000000
1262,65850,2104220,2023-08-22 06:08:52.000000000
3690818,1889,14225,2023-08-22 06:08:53.000000000
73013724,251,28671,2023-08-22 06:08:53.000000000
9185,19759,114381,2023-08-22 06:08:53.000000000
36879,1102,7666,2023-08-22 06:08:54.000000000
22980,713,5279,2023-08-22 06:08:54.000000000
808034,18302,90008,2023-08-22 06:08:54.000000000
94355,1032,22290,2023-08-22 06:08:54.000000000
94355,1032,22290,2023-08-22 06:08:55.000000000
230495,69,3060,2023-08-22 06:08:55.000000000
36879,1102,7666,2023-08-22 06:08:55.000000000
113254,2949,44877,2023-08-22 06:08:55.000000000
808034,18302,90008,2023-08-22 06:08:55.000000000
1075434,15907,124632,2023-08-22 06:08:56.000000000
808034,18302,90008,2023-08-22 06:08:56.000000000
80862575,437,1560,2023-08-22 06:08:56.000000000
73013724,251,28671,2023-08-22 06:08:56.000000000
107457,727,7206,2023-08-22 06:08:56.000000000
808034,18302,90008,2023-08-22 06:08:57.000000000
80862575,437,1560,2023-08-22 06:08:58.000000000
94355,1032,22290,2023-08-22 06:08:58.000000000
18270206,47,611,2023-08-22 06:08:58.000000000
94355,1032,22290,2023-08-22 06:08:59.000000000
49223,1405,8126,2023-08-22 06:08:59.000000000
12601,4227,112880,2023-08-22 06:08:59.000000000
16198010,89916,1963112,2023-08-22 06:09:00.000000000
8274,7320,420958,2023-08-22 06:09:00.000000000
1262,65850,2104220,2023-08-22 06:09:00.000000000
18691,7196,36533,2023-08-22 06:09:00.000000000
808034,18302,90008,2023-08-22 06:09:01.000000000
10409601,29,486,2023-08-22 06:09:01.000000000
73013724,251,28671,2023-08-22 06:09:01.000000000
94355,1032,22290,2023-08-22 06:09:01.000000000
73013724,251,28671,2023-08-22 06:09:02.000000000
94355,1032,22290,2023-08-22 06:09:02.000000000
79806,525,17404,2023-08-22 06:09:02.000000000
808034,18302,90008,2023-08-22 06:09:03.000000000
1947704,55,1398,2023-08-22 06:09:03.000000000
89094,196,8256,2023-08-22 06:09:03.000000000
73013724,251,28671,2023-08-22 06:09:04.000000000
2263179,5998,108685,2023-08-22 06:09:04.000000000
468782,8546,135847,2023-08-22 06:09:04.000000000
73013724,251,28671,2023-08-22 06:09:05.000000000
468782,8546,135847,2023-08-22 06:09:05.000000000
808034,18302,90008,2023-08-22 06:09:05.000000000
434598,1013,88955,2023-08-22 06:09:05.000000000
73013724,251,28671,2023-08-22 06:09:06.000000000
94355,1032,22290,2023-08-22 06:09:06.000000000
8274,7320,420958,2023-08-22 06:09:06.000000000
7550,5410,85781,2023-08-22 06:09:06.000000000
73013724,251,28671,2023-08-22 06:09:07.000000000
6684,5879,600171,2023-08-22 06:09:07.000000000
1633243,101,2533,2023-08-22 06:09:07.000000000
94355,1032,22290,2023-08-22 06:09:07.000000000
230495,69,3060,2023-08-22 06:09:07.000000000
